연번,구인등록일,모집기간,사업장명,모집직종,고용형태,임금형태,임금,근무지,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,담당기관,등록일,연락처
167,2020-10-27,2020-10-27 ~ 2020-10-31,명문유통,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,"8,590",,무관,0년개월,무관,,    ,대전광역시 중구 문화로 119 (유천동),개인,대전지역본부,2020-10-27,1588-1519
168,2020-10-27,2020-10-27 ~ 2020-11-13,(학)아주대학교의료원,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",계약직,시급,"8,700",,무관,무관,무관,,    ,경기도 수원시 영통구 원천동 아주대학부속병원 산5번지,대기업,경기지역본부,2020-10-27,1588-1519
169,2020-10-27,2020-11-09 ~ 2020-11-18,(주)엠씨넥스,기타 전자 부품·제품 조립·검사원,계약직,시급,"8,590",,무관,무관,무관,,    ,서울특별시 금천구 디지털로9길 47 (가산동),중소,서울남부지사,2020-10-27,1588-1519
170,2020-10-27,2020-10-27 ~ 2020-10-29,(주)비즈테크파트너스,사무 보조원(일반사업체),계약직,월급,"1,800,000",,무관,무관,무관,,    ,서울특별시 마포구 매봉산로 75 (상암동) 12층,대기업,서울남부지사,2020-10-27,1588-1519
171,2020-10-27,2020-10-27 ~ 2020-11-04,(주)천재교과서,전산자료 입력원(DB·단순자료),계약직,월급,"1,800,000",,무관,무관,고졸,,    ,서울특별시 금천구 가산디지털1로 16 천재교육R&D센터 (가산동),중소,서울남부지사,2020-10-27,1588-1519
172,2020-10-27,2020-10-27 ~ 2020-11-13,(주)케이티씨에스,네일 아티스트(손톱 관리사),계약직,월급,"1,610,000",,무관,무관,무관,,    ,"대전광역시 서구 갈마로 160 kt 인재개발원 (괴정동, KT인재개발원)",중소,서울남부지사,2020-10-27,1588-1519
173,2020-10-27,2020-10-27 ~ 2020-10-30,테스트주식회사05,통신공사 감리 기술자,상용직,연봉,"18,000,000",,무관,0년개월,무관,,    ,경기도 성남시 분당구 구미동 한국장애인고용공단 2층,대기업,공단본부,2020-10-27,1588-1519
174,2020-10-27,2020-10-27 ~ 2020-11-30,테스트주식회사02,건축구조 기술자,상용직,월급,"1,500,000",,무관,0년개월,초대졸,,    ,경기도 성남시 분당구 구미로173번길 59 (구미동),"공사,공공",공단본부,2020-10-27,1588-1519
175,2020-10-27,2020-10-27 ~ 2020-11-27,대한무역투자진흥공사,사무 보조원(공공기관),계약직,월급,"1,900,000",,무관,무관,무관,,    ,서울특별시 서초구 헌릉로 13 (염곡동),중소,서울동부지사,2020-10-27,1588-1519
176,2020-10-27,2020-10-27 ~ 2020-11-06,(재)우체국물류지원단 서울지사,물류 사무원(물류 관리사),계약직,월급,"1,800,000",,무관,0년개월,무관,,    ,서울특별시 광진구 자양로 76 (자양동),"공사,공공",서울동부지사,2020-10-29,1588-1519
177,2020-10-27,2020-10-27 ~ 2020-11-06,제주해양경찰서,환경 미화원,상용직,월급,"1,795,310",,무관,0년개월,무관,,    ,제주특별자치도 제주시 임항로 154 (건입동),"공사,공공",제주지사,2020-11-02,1588-1519
178,2020-10-26,2020-10-26 ~ 2020-12-31,사회복지법인 경남직업재활재단,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,"8,590",,무관,무관,무관,,    ,경상남도 진주시 이반성면 하곡로 186-17 (하곡리),"협회,단체",경남지사,2020-10-26,1588-1519
179,2020-10-26,2020-10-26 ~ 2020-11-05,화성시여성가족청소년재단,공공행정 사무원,상용직,월급,"2,200,000",,무관,무관,무관,,    ,경기도 화성시 남양읍 시청로 155 모두누림센터 3층,중소,경기지역본부,2020-10-26,1588-1519
180,2020-10-26,2020-10-26 ~ 2020-11-08,(재)광명시청소년재단,사회복지사(사회복지시설),상용직,연봉,"23,000,000",,무관,무관,무관,,    ,경기도 광명시 소하일로 9 광명시청소년수련관 4층 (소하동),중소,경기지역본부,2020-10-26,1588-1519
181,2020-10-26,2020-10-26 ~ 2020-10-26,(주)세이브원바이오,"섬유 제조기계 조작원(방적,방사,연사,합사,권사기 등)",계약직,시급,"8,590",,무관,무관,무관,,    ,경기도 의왕시 이미로 40 B동 212호 (포일동),중소,경기지역본부,2020-10-26,1588-1519
182,2020-10-26,2020-10-26 ~ 2020-10-26,(주)세이브원바이오,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",계약직,시급,"8,590",,무관,무관,무관,,    ,경기도 의왕시 이미로 40 B동 212호 (포일동),중소,경기지역본부,2020-10-26,1588-1519
183,2020-10-26,2020-10-26 ~ 2020-11-16,춘천동원학교,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",상용직,시급,"8,590",,무관,무관,무관,,    ,"강원도 춘천시 신북읍 상천1길 31 (천전리), 춘천동원학교","공사,공공",강원지사,2020-10-30,1588-1519
184,2020-10-26,2020-10-26 ~ 2020-12-01,일륭기공(주),자동차 부분품 조립·검사원,상용직,연봉,"34,000,000",,무관,0년개월,무관,,    ,강원도 횡성군 횡성읍 정문로 88 일륭기공 주식회사,중소,강원지사,2020-10-26,1588-1519
185,2020-10-26,2020-10-26 ~ 2020-11-16,네이처앤드피플,음료 조리사(바리스타 포함),상용직,시급,"8,590",,무관,무관,무관,,    ,강원도 춘천시 강원대학길 1 보듬관 405호 (효자동),중소,강원지사,2020-10-26,1588-1519
186,2020-10-26,2020-10-26 ~ 2020-11-27,동해아이스타 주니어 스포츠클럽,환경 미화원,상용직,시급,"8,590",,무관,무관,무관,,    ,강원도 동해시 동굴로 129 동송프라자 4층 (천곡동),개인,강원지사,2020-10-26,1588-1519
187,2020-10-26,2020-10-26 ~ 2020-11-20,주식회사 크린산업,음료 조리사(바리스타 포함),상용직,시급,"8,590",,무관,0년개월,무관,,    ,강원도 춘천시 충열로 90 (우두동),중소,강원지사,2020-10-26,1588-1519
188,2020-10-26,2020-10-26 ~ 2020-11-20,하누앤카누,음료 조리사(바리스타 포함),상용직,시급,"8,590",,무관,0년개월,무관,,    ,강원도 횡성군 횡성읍 삼일로 10 하누앤카누,개인,강원지사,2020-10-26,1588-1519
189,2020-10-26,2020-10-26 ~ 2020-11-06,주식회사 금보식품,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,"8,590",,무관,0년개월,무관,,    ,강원도 춘천시 동내면 동내로 96 주식회사 금보식품,중소,강원지사,2020-11-02,1588-1519
190,2020-10-26,2020-10-26 ~ 2020-11-03,(주)맨파워코리아,사무 보조원(일반사업체),상용직,월급,"1,900,000",,무관,무관,무관,,    ,서울특별시 강남구 테헤란로 409 (삼성동),대기업,충북지사,2020-10-26,1588-1519
191,2020-10-26,2020-10-26 ~ 2020-11-03,(주)맨파워코리아,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,월급,"1,030,000",,무관,무관,무관,,    ,서울특별시 강남구 테헤란로 409 (삼성동),대기업,충북지사,2020-10-26,1588-1519
192,2020-10-26,2020-10-26 ~ 2020-11-02,한국다인개발(주),환경 미화원,상용직,월급,"1,900,000",,무관,무관,무관,,    ,충청북도 청주시 서원구 사직대로 259 4층 (사직동),중소,충북지사,2020-10-26,1588-1519
193,2020-10-26,2020-10-26 ~ 2020-11-30,주식회사 행복누리,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",상용직,시급,"8,590",,무관,무관,무관,,    ,충청북도 청주시 흥덕구 옥산면 과학산업3로 29 옥산면,대기업,충북지사,2020-10-26,1588-1519
194,2020-10-26,2020-10-26 ~ 2020-11-30,디비손해보험주식회사,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,시급,"8,590",,무관,무관,무관,,    ,서울특별시 강남구 테헤란로 432 DB손해보험 (대치동),대기업,대구지역본부,2020-10-26,1588-1519
195,2020-10-26,2020-10-26 ~ 2020-10-30,신용보증기금,사무 보조원(공공기관),계약직,일급,"34,400",,무관,0년개월,고졸,,    ,대구광역시 동구 첨단로 7  (신서동),"공사,공공",대구지역본부,2020-10-28,1588-1519
196,2020-10-26,2020-10-26 ~ 2020-11-30,(주)다우,세탁원(다림질원),상용직,시급,"8,590",,무관,무관,무관,,    ,전라남도 장성군 장성읍 성산3길 39 (성산리),중소,광주지역본부,2020-10-26,1588-1519
197,2020-10-26,2020-10-26 ~ 2020-11-02,(주)케이비에스시큐리티,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",계약직,연봉,"27,000,000",,무관,무관,무관,,    ,서울특별시 영등포구 여의공원로 13 (여의도동) KBS한국방송공사 1층 27호,중소,광주지역본부,2020-10-26,1588-1519
198,2020-10-26,2020-10-26 ~ 2020-11-13,가톨릭대학교 성빈센트병원,병원행정 사무원(원무),계약직,시급,"8,700",,무관,무관,무관,,    ,"경기도 수원시 팔달구 중부대로 93 (지동), 성빈센트병원 93-6",대기업,경기지역본부,2020-10-26,1588-1519
199,2020-10-26,2020-10-26 ~ 2020-11-25,현수산업,기타 기계 조립·검사원,시간제,시급,"8,590",,무관,무관,무관,,    ,울산광역시 북구 괴정1길 10-10 (매곡동),개인,울산지사,2020-10-26,1588-1519
200,2020-10-26,2020-10-26 ~ 2020-11-20,(사)한국장애인중심기업협회 피복사업본부,섬유·의복 분야 단순 종사원,상용직,시급,"8,590",,무관,무관,무관,,    ,서울특별시 강북구 삼양로76길 3  (수유동),중소,서울지역본부,2020-10-30,1588-1519
201,2020-10-26,2020-10-26 ~ 2020-11-20,굿윌스토어은평점,섬유·의복 분야 단순 종사원,상용직,시급,"8,590",,무관,0년개월,무관,,    ,서울특별시 은평구 증산로 325 (증산동) 1층 굿윌스토어 호성1호점,"협회,단체",서울지역본부,2020-10-30,1588-1519
202,2020-10-26,2020-10-26 ~ 2020-11-30,서민금융진흥원,사무 보조원(공공기관),상용직,시급,"8,590",,무관,무관,무관,,    ,"서울특별시 중구 세종대로 124 한국프레스센터 서민금융진흥원 4,5층 (태평로1가)",중소,서울지역본부,2020-10-29,1588-1519
203,2020-10-26,2020-10-26 ~ 2020-10-31,(주)인라이플,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,시급,"9,000",,무관,무관,무관,,    ,서울특별시 구로구 디지털로 272 한신아이티타워 501호~504호 (구로동),중소,서울남부지사,2020-10-26,1588-1519
204,2020-10-26,2020-10-26 ~ 2020-11-02,(주)더네이쳐홀딩스,주입·포장·상표부착기 등 기타 기계 조작원,계약직,월급,"1,795,310",,무관,0년개월,고졸,,    ,서울특별시 금천구 가산디지털1로 33-22 2층  (가산동),중소,서울남부지사,2020-10-26,1588-1519
205,2020-10-26,2020-10-26 ~ 2020-11-30,주식회사인성관리,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,월급,"1,213,082",,무관,무관,무관,,    ,인천광역시 미추홀구 인하로367번길 16 1층 (주안동),중소,서울남부지사,2020-10-26,1588-1519
206,2020-10-26,2020-10-26 ~ 2020-11-30,(주)스와로브스키코리아,물류 사무원(물류 관리사),계약직,월급,"2,000,000",,무관,무관,고졸,,    ,서울특별시 강남구 도산대로 456  (청담동),중소,서울동부지사,2020-10-26,1588-1519
207,2020-10-26,2020-10-26 ~ 2020-10-29,(주)애큐온캐피탈,사무 보조원(일반사업체),계약직,연봉,"22,963,248",,무관,무관,고졸,,    ,서울특별시 강남구 삼성로 511 (삼성동),중소,서울동부지사,2020-10-26,1588-1519
208,2020-10-26,2020-10-26 ~ 2020-11-30,주식회사 로지스밸리에스엘케이,물류 사무원(물류 관리사),계약직,시급,"8,590",,무관,무관,무관,,    ,경기도 이천시 모가면 사실로 419-20 (주)로지스밸리SLK 패션물류센터,중소,경기동부지사,2020-10-30,1588-1519
209,2020-10-26,2020-10-26 ~ 2020-11-30,주식회사 동남실업,기타 비금속제품 생산기계 조작원,상용직,월급,"1,800,000",,신입,무관,무관,,    ,경기도 광주시 오포읍 매자리길27번길 103 주식회사 동남실업,중소,경기동부지사,2020-10-29,1588-1519
210,2020-10-26,2020-10-26 ~ 2020-12-31,두리두리사업단,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",시간제,시급,"8,590",,무관,무관,무관,,    ,충청남도 천안시 서북구 백석공단1로 10 SB116호,중소,충남지사,2020-10-29,1588-1519
211,2020-10-26,2020-11-03 ~ 2020-11-30,카페비아,음료 조리사(바리스타 포함),상용직,시급,"8,590",,무관,0년개월,무관,,    ,충청남도 천안시 서북구 오성4길 25 (두정동),개인,충남지사,2020-11-03,1588-1519
212,2020-10-26,2020-10-26 ~ 2020-11-15,나라스트리트임대,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",시간제,시급,"8,590",,무관,0년개월,무관,,    ,전라남도 영광군 영광읍 옥당로 143 (산하리),개인,전남지사,2020-10-29,1588-1519
213,2020-10-26,2020-10-26 ~ 2020-11-25,(주)명신종합관리,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",계약직,시급,"8,590",,신입,무관,무관,,    ,경상북도 구미시 봉곡남로16길 15-8 15-8 (봉곡동),중소,경북지사,2020-10-28,1588-1519
214,2020-10-24,2020-10-24 ~ 2020-11-20,HM테크,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,"8,590",,무관,무관,무관,,    ,경상북도 안동시 풍천면 밀골길 17-1 HM테크,개인,경북지사,2020-10-27,1588-1519
215,2020-10-24,2020-10-24 ~ 2020-11-13,대응농산,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,"8,590",,무관,0년개월,무관,,    ,경상북도 안동시 경동로 601 (옥야동),개인,경북지사,2020-10-27,1588-1519
216,2020-10-23,2020-10-23 ~ 2020-11-30,두성산업(주),기타 용접원,상용직,시급,"8,590",,무관,무관,무관,,    ,경상남도 창원시 의창구 사화로 144 두성산업(주) (팔용동),중소,경남지사,2020-10-28,1588-1519
217,2020-10-23,2020-10-23 ~ 2020-11-02,한국농수산식품유통공사,공공행정 사무원,상용직,연봉,"33,842,000",,무관,무관,무관,,    ,전라남도 나주시 문화로 227  (빛가람동),"공사,공공",전남지사,2020-10-23,1588-1519
218,2020-10-23,2020-10-23 ~ 2020-11-06,(사)경기도시각장애인연합회 오산시지회,그 외 사회복지 종사원,계약직,시급,"8,590",,무관,무관,무관,,    ,경기도 오산시 오산로 347 보화빌딩2층 (궐동),대기업,경기지역본부,2020-10-27,1588-1519
219,2020-10-23,2020-10-23 ~ 2020-10-27,원주여자중학교,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",계약직,월급,"1,779,280",,무관,0년개월,무관,,    ,강원도 원주시 단구로 147 (명륜동),"공사,공공",강원지사,2020-10-23,1588-1519
220,2020-10-23,2020-10-23 ~ 2020-11-30,(주)오네스토펫푸드,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,"8,590",,무관,무관,무관,,    ,충청북도 청주시 청원구 오창읍 신평중신1길 14 (주)오네스토펫푸드,중소,충북지사,2020-10-23,1588-1519
221,2020-10-23,2020-10-23 ~ 2020-10-31,전라북도 남원의료원,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,연봉,"11,000,000",,무관,무관,무관,,    ,전라북도 남원시 충정로 365  (고죽동),중소,전북지사,2020-10-23,1588-1519
222,2020-10-23,2020-10-23 ~ 2020-10-31,전라북도 남원의료원,사무 보조원(일반사업체),상용직,연봉,"14,000,000",,무관,무관,무관,,    ,전라북도 남원시 충정로 365  (고죽동),중소,전북지사,2020-10-23,1588-1519
223,2020-10-23,2020-10-23 ~ 2020-11-30,유한회사 뉴굿모닝마트,상품 진열원,상용직,시급,"8,590",,무관,0년개월,무관,,    ,전라북도 김제시 남북로 271 (서암동).,개인,전북지사,2020-10-23,1588-1519
224,2020-10-23,2020-10-23 ~ 2020-11-30,주식회사 더치콩,음료 조리사(바리스타 포함),상용직,시급,"8,590",,무관,0년개월,무관,,    ,전라북도 전주시 덕진구 콩쥐팥쥐로 1515 (중동),중소,전북지사,2020-10-23,1588-1519
225,2020-10-23,2020-10-23 ~ 2020-11-12,동림건업(주),기타 항공·철도운송종사원(항공기유도원·화물열차차장·신호수),상용직,월급,"2,000,000",,무관,무관,무관,,    ,부산광역시 연제구 법원남로10번길 23 박산빌딩 4층 (거제동),중소,부산지역본부,2020-10-23,1588-1519
226,2020-10-23,2020-10-23 ~ 2020-12-31,대동병원,세탁 기계 조작원,상용직,시급,"8,590",,무관,무관,무관,,    ,부산광역시 동래구 충렬대로 187 (명륜동),대기업,부산지역본부,2020-10-23,1588-1519
227,2020-10-23,2020-10-23 ~ 2020-11-20,(주)참좋은,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",계약직,시급,"8,590",,무관,0년개월,무관,,    ,부산광역시 강서구 허왕후길 87 (지사동),중소,부산지역본부,2020-10-23,1588-1519
228,2020-10-23,2020-10-23 ~ 2020-12-22,(주)평안,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,"8,590",,무관,무관,무관,,    ,대구광역시 달서구 성서로71길 49 (갈산동),중소,대구지역본부,2020-10-23,1588-1519
229,2020-10-23,2020-10-23 ~ 2020-12-31,대구보명학교(학교기업 성산포함),사무 보조원(공공기관),계약직,시급,"8,590",,무관,무관,무관,,    ,"대구광역시 남구 성당로50길 33 (대명동,대구대학교)","공사,공공",대구지역본부,2020-10-23,1588-1519
230,2020-10-23,2020-10-23 ~ 2020-12-23,일일디지털인쇄,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,"8,590",,신입,무관,무관,,    ,대구광역시 달서구 문화회관11안길 22-5 일일디지털인쇄,중소,대구지역본부,2020-10-30,1588-1519
231,2020-10-23,2020-10-23 ~ 2020-12-23,드림제지,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,"8,590",,무관,무관,무관,,    ,경상북도 경산시 자인면 공단로 144-12 드림제지,중소,대구지역본부,2020-10-23,1588-1519
232,2020-10-23,2020-10-23 ~ 2020-12-31,꿈앤카페모우,주점·커피숍 서빙원,상용직,시급,"8,590",,무관,무관,무관,,    ,"경상북도 경산시 남매로 159 (중방동,경산시청)",개인,대구지역본부,2020-10-23,1588-1519
233,2020-10-23,2020-10-23 ~ 2020-12-23,대영기사반점,주방 보조원(일반 음식점),계약직,시급,"8,590",,무관,0년개월,무관,,    ,대구광역시 남구 중앙대로 239 (대명동),개인,대구지역본부,2020-10-23,1588-1519
234,2020-10-23,2020-10-23 ~ 2020-11-12,현대건설(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,월급,"1,040,000",,무관,무관,무관,,    ,서울특별시 종로구 율곡로 75 (계동),대기업,인천지사,2020-10-23,1588-1519
235,2020-10-23,2020-10-23 ~ 2020-10-30,순천향대학교부속부천병원,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,월급,"1,994,600",,무관,0년개월,무관,,    ,경기도 부천시 조마루로 170 순천향대학교 부천병원 (중동),중소,인천지사,2020-10-23,1588-1519
236,2020-10-23,2020-10-23 ~ 2020-10-30,청보산업(주),"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,"8,590",,무관,0년개월,무관,,    ,인천광역시 남동구 남동대로 208 남동공단 71B-16L (고잔동),중소,인천지사,2020-10-23,1588-1519
237,2020-10-23,2020-10-23 ~ 2021-01-22,쿠팡풀필먼트서비스유한회사,환경 미화원,상용직,시급,"8,590",,무관,무관,무관,,    ,경기도 화성시 동탄물류1로 13 쿠팡 동탄물류센터 (신동),중소,인천지사,2020-10-23,1588-1519
238,2020-10-23,2020-10-23 ~ 2021-01-22,(주)반찬단지,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,"8,590",,무관,무관,무관,,    ,인천광역시 서구 건지로95번길 14 (주)반찬단지(석남동),중소,인천지사,2020-10-23,1588-1519
239,2020-10-23,2020-10-23 ~ 2020-11-29,(주)대호산업,자동차 부분품 조립·검사원,계약직,시급,"8,590",,무관,0년개월,무관,,    ,광주광역시 광산구 하남산단8번로 20 (오선동),중소,광주지역본부,2020-10-26,1588-1519
240,2020-10-23,2020-10-23 ~ 2020-11-29,광주나눔장애인자립생활센터,사무 보조원(일반사업체),상용직,시급,"8,590",,무관,무관,무관,,    ,광주광역시 광산구 풍영철길로 46 2층 (우산동),중소,광주지역본부,2020-10-30,1588-1519
241,2020-10-23,2020-10-23 ~ 2020-11-30,양명요양병원,시설 요양보호사(노인요양사),상용직,시급,"8,590",,무관,무관,무관,,    ,광주광역시 동구 제봉로 35-6 양명요양병원 (학동),중소,광주지역본부,2020-10-26,1588-1519
242,2020-10-23,2020-10-23 ~ 2020-12-30,농업회사법인(주)세아푸드,식품 분야 단순 종사원,상용직,시급,"8,590",,무관,무관,무관,,    ,전라남도 담양군 금성면 금성공단길 9-10 세아푸드,중소,광주지역본부,2020-10-30,1588-1519
243,2020-10-23,2020-10-23 ~ 2020-12-31,다섬실업,세탁원(다림질원),상용직,시급,"8,590",,무관,0년개월,무관,,    ,광주광역시 북구 양일로 148-14  (양산동),중소,광주지역본부,2020-10-26,1588-1519
244,2020-10-23,2020-10-23 ~ 2020-12-30,주식회사나르미,자동차 조립·검사원,상용직,월급,"2,000,000",,무관,0년개월,무관,,    ,광주광역시 광산구 평동로803번길 46 (옥동),개인,광주지역본부,2020-10-23,1588-1519
245,2020-10-23,2020-10-23 ~ 2020-11-30,구례병원노인복지센터,시설 요양보호사(노인요양사),시간제,시급,"8,590",,무관,0년개월,무관,,    ,전라남도 구례군 구례읍 동편제길 4 .,"공사,공공",광주지역본부,2020-10-29,1588-1519
246,2020-10-23,2020-10-23 ~ 2020-11-06,중소기업기술정보진흥원,사무 보조원(공공기관),계약직,월급,"1,960,000",,무관,무관,무관,,    ,대전광역시 유성구 대덕대로 593 (도룡동) 대덕테크비즈센터 5~8층,"공사,공공",대전지역본부,2020-10-23,1588-1519
247,2020-10-23,2020-10-23 ~ 2020-10-30,국군복지단,사무 보조원(공공기관),상용직,월급,"1,800,000",,무관,0년개월,무관,,    ,서울특별시 용산구 두텁바위로 54-99 (용산동2가),"공사,공공",대전지역본부,2020-10-23,1588-1519
248,2020-10-23,2020-10-23 ~ 2020-11-13,에스원CRM(주),총무 및 일반 사무원,계약직,시급,"8,590",,무관,무관,고졸,전산학·컴퓨터공학,    ,경기도 수원시 팔달구 경수대로 522 . (인계동),중소,경기지역본부,2020-10-26,1588-1519
249,2020-10-23,2020-10-23 ~ 2020-11-22,에스케이플라즈마,환경 미화원,계약직,시급,"8,590",,무관,0년개월,무관,,    ,경상북도 안동시 풍산읍 산업단지길 157 에스케이플라즈마,중소,경북지사,2020-10-27,1588-1519
250,2020-10-23,2020-10-23 ~ 2020-11-11,재단법인 경북바이오산업연구원,생명과학 연구원,상용직,연봉,"22,000,000",,무관,무관,대졸,경영학,    ,경상북도 안동시 풍산읍 산업단지2길 5 경북바이오산업연구원,중소,경북지사,2020-10-27,1588-1519
251,2020-10-23,2020-10-23 ~ 2020-11-13,망천정미소,식품 분야 단순 종사원,시간제,시급,"8,590",,무관,0년개월,무관,,    ,경상북도 포항시 북구 흥해읍 한동로106번길 102-5 망천정미소,개인,경북지사,2020-10-23,1588-1519
252,2020-10-23,2020-10-23 ~ 2020-11-22,(주)크로바케미칼,기타 화학제품 생산기계 조작원,계약직,시급,"8,590",,무관,0년개월,무관,,    ,경상북도 칠곡군 기산면 기산공단1길 31 (주)크로바케미칼,중소,경북지사,2020-10-26,1588-1519
253,2020-10-23,2020-10-23 ~ 2020-11-20,의)정안의료재단 중앙병원,의료 보조원,계약직,월급,"1,850,000",,무관,0년개월,무관,,    ,울산광역시 남구 문수로480번길 10 (신정동),개인,울산지사,2020-10-23,1588-1519
254,2020-10-23,2020-10-23 ~ 2020-11-30,이스트만화이버코리아주식회사,사무 보조원(일반사업체),계약직,연봉,"22,000,000",,무관,0년개월,무관,,    ,울산광역시 남구 용연로 234 (황성동),외국계,울산지사,2020-10-23,1588-1519
255,2020-10-23,2020-10-23 ~ 2020-10-30,현대카드주식회사,생산·품질 사무원 및 관리원(그 외 분야),계약직,연봉,"30,000,000",,무관,무관,무관,,    ,서울특별시 영등포구 의사당대로 3 (여의도동),대기업,서울남부지사,2020-10-23,1588-1519
256,2020-10-23,2020-10-23 ~ 2020-10-23,(주)현대그린푸드 오스템임플란트점,주방 보조원(일반 음식점),계약직,시급,"8,590",,무관,0년개월,무관,,    ,서울특별시 강서구 마곡중앙12로 3 (마곡동),중소,서울남부지사,2020-10-23,1588-1519
257,2020-10-23,2020-10-23 ~ 2020-10-30,(주)올가홀푸드,총무 및 일반 사무원,상용직,연봉,"22,000,000",,무관,무관,고졸,,    ,서울특별시 송파구 중대로 168 (가락동),대기업,서울동부지사,2020-10-23,1588-1519
258,2020-10-23,2020-10-23 ~ 2020-11-05,한국인터넷진흥원,사무 보조원(공공기관),계약직,월급,"1,800,000",,무관,무관,무관,,    ,전라남도 나주시 진흥길 9  (빛가람동),중소,서울동부지사,2020-10-23,1588-1519
259,2020-10-23,2020-10-23 ~ 2020-11-05,한국발명진흥회,사무 보조원(공공기관),계약직,연봉,"26,000,000",,무관,0년개월,무관,,    ,"서울특별시 강남구 테헤란로 131 (역삼동), 한국지식재산센터","공사,공공",서울동부지사,2020-10-23,1588-1519
260,2020-10-23,2020-10-23 ~ 2020-10-31,(주)드림어스컴퍼니,IT 테스터 및 IT QA 전문가,계약직,월급,"1,828,820",,무관,무관,무관,,    ,서울특별시 서초구 방배로18길 5 아이리버하우스 (방배동),중소,서울동부지사,2020-10-30,1588-1519
261,2020-10-23,2020-10-23 ~ 2020-10-30,에이제이파크주식회사,사무 보조원(일반사업체),계약직,월급,"1,822,480",,무관,무관,무관,,    ,서울특별시 송파구 정의로8길 9 (문정동),중소,서울동부지사,2020-10-23,1588-1519
262,2020-10-23,2020-10-23 ~ 2020-10-25,서울아산병원,안마사,계약직,월급,"1,690,000",,무관,0년개월,무관,,안마사    ,서울특별시 송파구 올림픽로43길 88 서울아산병원 (풍납동),중소,서울동부지사,2020-10-23,1588-1519
263,2020-10-23,2020-10-23 ~ 2020-10-31,힐링스토리,안마사,계약직,월급,"1,800,000",,무관,무관,무관,,    ,서울특별시 광진구 자양로16길 22 201호(자양동),개인,서울동부지사,2020-10-30,1588-1519
264,2020-10-23,2020-10-23 ~ 2020-11-30,광남고등학교,주방 보조원(일반 음식점),계약직,시급,"8,590",,무관,0년개월,고졸,,    ,경기도 광주시 담안길 20-38 (장지동),"공사,공공",경기동부지사,2020-10-30,1588-1519
265,2020-10-23,2020-10-23 ~ 2020-12-11,홈앤서비스 주식회사,고객 상담원(인터넷·통신),상용직,월급,"2,240,000",,무관,0년개월,고졸,,    ,서울특별시 중구 퇴계로 10 메트로타워 16층  (남대문로5가),대기업,경기동부지사,2020-10-23,1588-1519
266,2020-10-23,2020-10-23 ~ 2020-11-30,(사)한국장애인농축산기술협회 월가든사업단,원예작물 재배원,계약직,시급,"8,590",,무관,0년개월,무관,,    ,경기도 성남시 수정구 여수대로 75-1 (시흥동),"협회,단체",경기동부지사,2020-10-29,1588-1519
267,2020-10-23,2020-10-23 ~ 2020-12-25,주식회사 드림앤첼린지,음료 조리사(바리스타 포함),시간제,시급,"8,590",,무관,무관,무관,,    ,충청남도 천안시 서북구 월봉로 48 나사렛대학교 제2창학관 3층 (쌍용동),중소,충남지사,2020-10-23,1588-1519
268,2020-10-23,2020-10-23 ~ 2020-11-02,입장초등학교,사서,상용직,시급,"8,590",,무관,무관,무관,,    ,충청남도 천안시 서북구 입장면 하장3길 11-2 (하장리),"공사,공공",충남지사,2020-10-23,1588-1519
269,2020-10-23,2020-10-23 ~ 2020-11-04,재외동포재단,공공행정 사무원,계약직,월급,"1,850,000",,무관,무관,무관,,    ,서울특별시 서초구 남부순환로 2558 (서초동),"공사,공공",제주지사,2020-10-26,1588-1519
